white win | 3Q4/5B1p/3P3p/R3k2n/3RPp1b/2P5/1B4P1/1b5K b - - 12 62
draw by insufficient material | 8/6k1/8/8/8/8/3K4/8 w - - 0 249
draw by insufficient material | 8/8/3K3b/3B4/8/8/5k2/8 b - - 0 204
draw by insufficient material | 8/8/5K2/8/8/8/1k6/8 b - - 0 135
black win | 1nN1k1r1/1r1b4/p1PP3p/P7/1q2PpPp/b2Pn3/1QK5/1NR1B3 w - - 1 49
draw by insufficient material | 8/8/8/5k2/8/8/7K/8 b - - 0 134
draw by 50 move rule | 8/8/6K1/8/8/5N2/8/6k1 b - - 100 238
draw by insufficient material | 2k5/8/8/8/8/8/2K5/8 b - - 0 206
draw by 50 move rule | 6k1/8/3N4/8/8/8/1K6/3B4 b - - 100 256
draw by insufficient material | 3K4/8/8/7k/8/8/8/8 b - - 0 203
draw by insufficient material | 1K6/8/8/8/4k3/8/8/8 b - - 0 200
black win | 8/7k/8/1B6/1pb4P/1P6/1r6/N2K2r1 w - - 7 84
draw by 50 move rule | 8/8/8/7k/5b2/1K6/5b2/8 b - - 100 222
draw by 50 move rule | 8/7k/8/p7/P7/3K4/8/8 b - - 100 256
draw by 50 move rule | 5n2/8/5k2/8/1K6/8/8/8 b - - 100 262
draw by 50 move rule | 1k6/4K3/8/r5r1/8/8/2r5/8 w - - 100 189
white win | 3Q1k1N/8/5P1N/1P4P1/2N1n3/1b6/1K6/8 b - - 0 132
draw by 50 move rule | 6b1/8/K7/8/8/8/8/7k b - - 100 241
draw by insufficient material | 3k4/8/8/8/8/8/K7/8 b - - 0 273
draw by stalemate | 1n6/8/8/6r1/8/6k1/7p/7K w - - 0 136
draw by insufficient material | 8/4k3/8/8/8/8/8/7K w - - 0 140
black win | 6k1/8/8/1P3b2/5P2/7p/2p4P/2r4K w - - 0 75
black win | 8/3R4/3r2k1/3P1R2/7B/2P5/4q3/4K1n1 w - - 5 94
draw by 50 move rule | 8/8/8/8/3K2b1/8/3n3k/8 w - - 100 211
draw by insufficient material | 8/8/8/n1k5/8/N7/8/6K1 b - - 0 202
draw by insufficient material | 8/8/8/8/8/1K6/3k4/8 w - - 0 203
draw by 50 move rule | 8/8/8/8/3k4/r7/8/5K2 w - - 100 272
draw by 50 move rule | 8/5K2/8/8/2k1b3/8/8/8 w - - 100 209
white win | 8/7R/2p3Pk/p7/P1p2PRp/1r6/n1K2n2/6b1 b - - 2 76
draw by insufficient material | 7N/8/8/8/1k6/8/4K3/b7 b - - 0 127
draw by 50 move rule | 8/8/8/7p/7P/8/3k2K1/8 w - - 100 242
draw by stalemate | Q4R2/2Q5/P3k3/3p4/3P3P/2K5/6B1/8 b - - 0 89
draw by insufficient material | 8/3k4/5K2/8/8/8/8/8 w - - 0 209
draw by insufficient material | 3k4/8/8/6K1/8/8/8/8 w - - 0 198
white win | R1k5/6P1/2K5/8/8/8/8/5r2 b - - 18 167
draw by 50 move rule | 8/8/3K4/8/p2k4/P7/8/8 b - - 100 207
draw by 50 move rule | 3r4/8/8/1k6/8/B3BK2/8/5b2 b - - 100 174
draw by insufficient material | 8/1k6/5N2/8/8/6Kn/8/8 w - - 0 157
draw by stalemate | k7/8/K1N5/8/8/8/8/3R4 b - - 6 150
draw by 50 move rule | 8/6k1/1b6/8/8/8/6K1/8 w - - 100 168
draw by insufficient material | 8/8/8/8/3k4/5K2/8/8 b - - 0 163
draw by insufficient material | 8/8/4k3/8/8/8/6K1/8 w - - 0 211
