stalemate | 8/8/n2k3n/1p1r3p/1p2r2P/4B1p1/q5b1/4K3 w - - 15 58
50 move count reached | 8/B7/8/6k1/8/8/8/2K5 w - - 100 155
50 move count reached | 8/8/7b/2k5/7K/8/7p/7r b - - 100 314
white win | 8/8/8/2R4q/8/8/6K1/7k b - - 44 196
50 move count reached | 8/n7/8/8/2k5/7K/8/7r b - - 100 255
draw | 8/8/8/8/8/6K1/8/N3k2b b - - 0 156
50 move count reached | 8/8/6K1/8/k7/8/8/8 b - - 100 373
white win | 1Q3Q2/n1p4k/1b6/p2P2p1/P5R1/2KB4/8/1N6 b - - 2 57
draw | 8/8/8/8/1N6/1n3K2/1k6/8 w - - 0 199
stalemate | 8/2K5/8/8/8/3N4/3N4/7k b - - 0 181
50 move count reached | 8/8/7p/1k5P/7K/8/8/8 b - - 100 208
50 move count reached | 8/8/8/8/8/3k4/K7/8 w - - 100 337
50 move count reached | 2K5/8/8/8/8/8/7k/8 b - - 100 221
stalemate | 8/8/8/8/8/8/K7/7k b - - 11 243
50 move count reached | 8/8/3K4/8/8/5k2/8/8 w - - 100 244
50 move count reached | 3k4/8/8/8/8/8/8/1K5q b - - 100 254
50 move count reached | 8/8/3n3p/7P/8/8/K7/7k w - - 100 237
stalemate | 8/8/p7/8/8/8/7p/Kbk4n w - - 6 155
50 move count reached | 8/8/1K3B2/8/5k2/8/8/8 w - - 100 234
50 move count reached | 8/8/8/N7/4k3/8/8/2K5 b - - 100 212
black win | 8/5k1r/4npp1/2R2NP1/Bp3p2/PN6/5n1q/3q1QK1 w - - 2 57
50 move count reached | 8/8/8/8/6K1/8/4k3/7r b - - 100 246
stalemate | 8/8/2N5/7P/K7/8/8/7k b - - 0 99
stalemate | 6k1/8/K3P2Q/8/8/8/8/3RQ3 b - - 7 128
draw | 5k2/8/3N4/8/8/8/8/3K3n w - - 0 172
50 move count reached | 8/1k6/6K1/8/8/2p5/2P5/8 w - - 100 265
50 move count reached | 8/8/8/3K4/8/8/8/2k5 b - - 100 157
50 move count reached | 7n/1k6/8/8/8/7K/8/7r w - - 100 255
stalemate | 8/3K4/8/8/8/3B4/8/7k b - - 31 173
black win | 8/1q2p3/k6P/r4B2/2r2P2/8/1P6/1K1q4 w - - 0 76
50 move count reached | 8/2k5/3n4/8/8/8/8/5K2 b - - 100 248
50 move count reached | 6k1/8/8/1K6/8/8/8/7b b - - 100 266
50 move count reached | 6R1/8/8/5k2/p7/P2K4/8/8 w - - 100 160
50 move count reached | 8/8/7B/K7/8/7k/8/8 b - - 100 215
50 move count reached | 8/8/8/8/6K1/8/4k3/8 w - - 100 236
50 move count reached | 3k4/8/8/8/8/8/K2B4/8 w - - 100 231
black win | 4n3/8/P7/8/K1k5/8/r7/8 w - - 3 155
50 move count reached | 6K1/8/8/5N2/8/pn3k2/P6b/8 b - - 100 192
50 move count reached | 5k2/8/8/8/8/8/8/4R1K1 b - - 100 235
black win | 2b1R3/q3r1k1/n5Bp/4p2P/2p4K/BP1r4/8/n3b1N1 w - - 13 63
50 move count reached | 8/8/4k2p/7p/1K5P/8/8/8 b - - 100 145
white win | 5R1k/1bN5/6BK/rb5p/1B2p3/8/8/8 b - - 3 74
white win | 1n6/rP2kQ2/4N3/p1ppP3/P5p1/6nP/2N1bR1B/n3K3 b - - 14 64
50 move count reached | 8/8/8/8/8/8/3k4/7K w - - 100 188
