draw by insufficient material | 1K6/8/6N1/3k4/8/8/8/8 b - - 0 183
draw by insufficient material | 8/8/4K3/8/1k6/8/5B2/8 w - - 0 193
black win | 5b2/2n1kb2/1p5r/R3p2p/3PP2P/2p5/2Nq4/2nK4 w - - 6 67
draw by insufficient material | 8/8/k7/8/8/8/3K4/7n w - - 0 188
draw by insufficient material | 8/2k5/8/8/8/3K4/8/8 w - - 0 110
draw by insufficient material | 5K2/8/8/8/2k5/8/8/8 b - - 0 201
draw by insufficient material | 8/8/8/8/5k2/8/2K5/7n w - - 0 200
draw by insufficient material | 8/8/8/2k1K3/7N/8/8/8 w - - 0 144
draw by insufficient material | 8/8/2k5/3N4/3K4/6n1/8/8 b - - 0 124
draw by 50 move rule | 4k3/8/8/8/3K4/8/5q2/8 w - - 100 228
draw by insufficient material | 8/8/3K4/8/k7/5n2/8/8 b - - 0 153
draw by insufficient material | 8/8/1K5k/8/1N6/8/8/8 w - - 0 251
draw by insufficient material | 8/8/6K1/6N1/3k4/8/8/8 w - - 0 237
draw by insufficient material | B7/8/6K1/8/6k1/8/8/8 b - - 0 121
draw by insufficient material | 8/4k3/8/1N4K1/8/8/8/8 w - - 0 231
draw by insufficient material | 8/8/2k5/b7/8/K7/8/8 w - - 0 210
draw by 50 move rule | 8/8/6R1/6k1/1K6/8/8/8 b - - 100 249
draw by insufficient material | 2B5/5n2/8/2k5/8/2K5/8/8 b - - 0 86
draw by stalemate | 8/5k2/r7/6p1/3n2p1/r2p4/1K6/5r2 w - - 26 102
draw by insufficient material | 8/3K4/8/8/2k5/8/8/8 b - - 0 233
draw by insufficient material | 1b6/4k3/8/8/8/4K3/8/8 w - - 0 150
draw by insufficient material | 2k5/8/8/8/8/5K2/8/8 b - - 0 137
draw by insufficient material | 8/2k5/8/8/8/1K6/B7/6n1 w - - 0 126
white win | 7R/8/1K6/8/8/7k/8/6R1 b - - 76 238
white win | 8/6n1/p3N1p1/8/5R2/4k3/2NR2P1/4K3 b - - 1 68
draw by insufficient material | 8/5K1B/3k4/8/3b4/8/8/8 w - - 0 140
draw by insufficient material | 5N2/8/2k5/8/8/5K2/8/8 b - - 0 161
draw by insufficient material | 8/8/4B3/8/1K6/8/8/4k3 b - - 0 142
draw by 50 move rule | 8/k7/8/6n1/8/1b2K3/8/8 b - - 100 274
draw by 50 move rule | 2K5/1N5p/7P/8/8/n5k1/8/8 b - - 100 194
draw by insufficient material | 3K4/6k1/8/8/8/8/8/8 b - - 0 190
white win | 1k1R4/4R3/2p5/p1P5/7P/K7/b5p1/3n2r1 b - - 1 87
draw by threefold repitition | 2k5/8/7p/7P/5K2/8/8/8 w - - 84 172
draw by threefold repitition | 6K1/k7/1n6/8/1p6/8/n7/8 w - - 14 172
draw by insufficient material | 1N6/8/1K6/8/k7/8/8/8 b - - 0 179
draw by stalemate | 8/8/6b1/8/3q4/5k2/8/2K5 w - - 20 175
draw by insufficient material | 8/8/k7/8/7K/8/5B2/8 w - - 0 185
draw by insufficient material | 8/8/8/5N2/8/5K2/2k5/8 w - - 0 209
draw by 50 move rule | 7B/k7/B7/4B3/4K3/8/8/8 w - - 100 200
draw by 50 move rule | 8/8/B7/8/5p1p/1k3PpP/6P1/4K3 b - - 100 204
draw by insufficient material | 8/5B2/8/8/8/k7/8/b3K3 b - - 0 104
white win | r1bq2r1/ppppp2p/4kp1b/n2Q1n2/2P2p1P/PP2PPP1/1B1P3R/R3KBN1 b Q - 4 16
draw by insufficient material | 8/8/1b6/4k3/8/8/K7/8 b - - 0 164
