draw by insufficient material | 8/8/8/8/2K5/8/5k2/8 w - - 0 216
white win | 1k2N3/1Q6/B7/4K3/3P4/2P5/4p3/8 b - - 7 135
draw by insufficient material | 8/8/8/3k4/8/3K4/8/8 w - - 0 151
draw by insufficient material | 8/2K5/8/n7/5k2/8/8/8 b - - 0 275
draw by insufficient material | 8/3k4/8/8/8/8/7K/6n1 w - - 0 204
draw by insufficient material | 8/5k2/8/8/8/8/8/3K4 w - - 0 236
draw by insufficient material | 3N4/k7/6K1/8/8/1n6/8/8 b - - 0 139
draw by insufficient material | 3B4/3b4/8/1K6/6k1/8/8/8 w - - 0 102
black win | R2B3k/2N5/p4P1p/n6P/3p4/1P3p2/5P2/2r2K1R w - - 1 82
draw by insufficient material | 8/1k6/5K2/8/8/8/8/4b3 w - - 0 167
draw by insufficient material | 3k4/8/8/5K2/8/8/4N3/8 b - - 0 153
draw by insufficient material | B7/1k2K3/8/8/8/8/8/8 b - - 0 205
draw by insufficient material | 8/8/8/8/4K3/k5N1/8/8 w - - 0 182
draw by insufficient material | 8/8/6k1/8/8/8/4K3/8 w - - 0 209
draw by stalemate | 7k/1Q6/3R4/8/2B4N/3R4/4K3/8 b - - 16 161
draw by 50 move rule | 8/8/8/6k1/8/8/1b2K3/3r4 w - - 100 222
draw by insufficient material | 7N/1n2k3/8/8/5K2/8/8/8 b - - 0 103
draw by insufficient material | 6KB/8/8/8/1k6/8/8/8 b - - 0 180
draw by insufficient material | 4B3/8/8/8/8/3k4/8/2K5 w - - 0 148
draw by insufficient material | 6N1/8/8/6K1/8/8/3k4/8 b - - 0 232
draw by insufficient material | 8/8/1k6/8/6Kn/8/8/8 w - - 0 213
draw by insufficient material | 8/4B3/1k6/8/8/8/K7/8 b - - 0 160
draw by insufficient material | 5B2/8/8/8/K7/4k3/8/8 w - - 0 190
draw by stalemate | 7k/8/6Q1/3K4/8/8/8/2B5 b - - 32 163
draw by insufficient material | 8/8/8/5K2/8/1k6/8/8 b - - 0 241
draw by insufficient material | k4K2/8/8/8/8/8/8/8 b - - 0 207
draw by insufficient material | 8/K7/6k1/8/8/2N5/8/8 b - - 0 226
black win | 8/8/5k2/1r6/5N2/K7/6N1/r7 w - - 0 154
